Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,Pre-workshop survey: What do you expect to get from this course?
,,2020-09-21 11:06:34.336444+00:00,Research software engineer,Computer and Information Sciences,Windows,Windows 10,Git,Python; C++,No but I know what it is,No but I know what it is,No but I know what it is,Yes,Comments in the source code,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design; Software licensing; Reproducible research,From mailing list,Build more skills in collaborative software development    Expand networks and see possibility of having coderefinery workshops at University of Twente
,,2020-09-20 07:59:01.524479+00:00,Other,Arts,macOS,10.15,I don't use version control and I don't know what it is,Python; C; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Other,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Documentation; Integrated development environments,From friend/colleague,
,,2020-06-29 07:44:42.893751+00:00,Research software engineer,Computer and Information Sciences,Windows,10,Git,Python; C++,No but I know what it is,No but I know what it is,No but I know what it is,Yes,Comments in the source code; README files,GitHub; Bitbucket,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Jupyter notebooks; Collaborative distributed version control; Integrated development environments; Git branch design; Software licensing; Reproducible research,From mailing list,Learn advanced concepts for code repository management
,,2020-03-17 08:26:12.916909+00:00,Researcher,Mathematics,macOS,,I don't use version control and I don't know what it is,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,PDF,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Introduction to version control; Jupyter notebooks; Collaborative distributed version control; Git branch design,From friend/colleague,
,,2020-03-13 13:14:27.910748+00:00,Researcher,Computer and Information Sciences,macOS,macOS Catalina + Ubuntu Bionic,Git,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; Markdown,GitHub; GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From newsletter or university web site,
,,2020-03-10 11:02:38.761372+00:00,Researcher,Biological Sciences,macOS,MacOS Catalina 0.15.3,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Managing complexity and modular code development; Archaeology with Git,From friend/colleague,I expect to learn new ways to manage my codes in a way that is easier to comprehend and share with others
,,2020-02-21 09:09:58.182008+00:00,Researcher,Health Sciences,Windows,10,I don't use version control but I know what it is,C++,No and I don't know what it is,No and I don't know what it is,Yes,No and I don't know what it is,Comments in the source code; README files; Other,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Introduction to version control; Documentation; Reproducible research,From newsletter or university web site,To document and manage data better(?)
