Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-11-24 17:17:34.813127+00:00,Windows,10,I don't use version control but I know what it is,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Reproducible research,
,,2019-11-07 20:48:17.313912+00:00,macOS,macOS 10.14.6,Git,Matlab; R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; HMTL; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Psychology,Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Git branch design; Reproducible research,"I spend a lot of my time coding, and some of this is collaborative. I want to improve my ability to write clear, flexible, modularized code which can be reused, shared for joint projects, and perhaps distributed more widely e.g. as an R package or Python module. I would also like to learn about testing, which I have no experience with, but seems like a good idea."
,,2019-11-06 08:26:16.394096+00:00,macOS,macos 10.14,Git; Subversion,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Civil Engineering,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Git branch design; Reproducible research,more experience and an overview of version control and to work in team with research code development
,,2019-10-30 07:38:56.154579+00:00,Windows,,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Health Sciences,Introduction to version control; Documentation; Managing complexity and modular code development; Reproducible research,to learn all that i can and get better doing my job
,,2019-10-30 06:06:11.190748+00:00,macOS,mojave,Git,Perl,No and I don't know what it is,No but I know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Health Sciences,Introduction to version control; Documentation; Jupyter notebooks; Automated testing; Building portable code with CMake; Integrated development environments; Reproducible research,
,,2019-10-10 14:18:05.265751+00:00,macOS,macOS Mojave version 10.14.6,Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Other Social Sciences,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,"More solid competences in building and maintaining code for research purposes, and some structure. I am self-learned so it would be really beneficial for me to talk to somebody with a more solid background in the coding domain."
,,2019-10-03 13:32:13.304764+00:00,Windows,,I don't use version control and I don't know what it is; Git,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Languages and Literature,,
